AGE GROUP (YEARS),Cancer,NUM_WOMEN,Period,Screen,STATE
55–59,Invasive <= 15mm,63,2016,1+,SA
55–59,Invasive <= 15mm,17,2016,1+,TAS
55–59,Invasive <= 15mm,118,2016,1+,VIC
55–59,Invasive <= 15mm,49,2016,1+,WA
55–59,Invasive <= 15mm,10,2017,1+,ACT
55–59,Invasive <= 15mm,177,2017,1+,NSW
55–59,Invasive <= 15mm,7,2017,1+,NT
55–59,Invasive <= 15mm,115,2017,1+,QLD
55–59,Invasive <= 15mm,61,2017,1+,SA
55–59,Invasive <= 15mm,25,2017,1+,TAS
55–59,Invasive <= 15mm,114,2017,1+,VIC
55–59,Invasive <= 15mm,65,2017,1+,WA
60–64,Invasive <= 15mm,18,2009,1+,ACT
60–64,Invasive <= 15mm,207,2009,1+,NSW
60–64,Invasive <= 15mm,3,2009,1+,NT
60–64,Invasive <= 15mm,152,2009,1+,QLD
60–64,Invasive <= 15mm,53,2009,1+,SA
60–64,Invasive <= 15mm,21,2009,1+,TAS
60–64,Invasive <= 15mm,140,2009,1+,VIC
60–64,Invasive <= 15mm,66,2009,1+,WA
60–64,Invasive <= 15mm,12,2010,1+,ACT
60–64,Invasive <= 15mm,207,2010,1+,NSW
60–64,Invasive <= 15mm,5,2010,1+,NT
60–64,Invasive <= 15mm,130,2010,1+,QLD
60–64,Invasive <= 15mm,62,2010,1+,SA
60–64,Invasive <= 15mm,21,2010,1+,TAS
60–64,Invasive <= 15mm,136,2010,1+,VIC
60–64,Invasive <= 15mm,59,2010,1+,WA
60–64,Invasive <= 15mm,13,2011,1+,ACT
60–64,Invasive <= 15mm,177,2011,1+,NSW
60–64,Invasive <= 15mm,4,2011,1+,NT
60–64,Invasive <= 15mm,149,2011,1+,QLD
60–64,Invasive <= 15mm,51,2011,1+,SA
60–64,Invasive <= 15mm,27,2011,1+,TAS
60–64,Invasive <= 15mm,146,2011,1+,VIC
60–64,Invasive <= 15mm,69,2011,1+,WA
60–64,Invasive <= 15mm,9,2012,1+,ACT
60–64,Invasive <= 15mm,206,2012,1+,NSW
60–64,Invasive <= 15mm,7,2012,1+,NT
60–64,Invasive <= 15mm,131,2012,1+,QLD
60–64,Invasive <= 15mm,41,2012,1+,SA
60–64,Invasive <= 15mm,25,2012,1+,TAS
60–64,Invasive <= 15mm,133,2012,1+,VIC
60–64,Invasive <= 15mm,73,2012,1+,WA
60–64,Invasive <= 15mm,10,2013,1+,ACT
60–64,Invasive <= 15mm,190,2013,1+,NSW
60–64,Invasive <= 15mm,5,2013,1+,NT
60–64,Invasive <= 15mm,136,2013,1+,QLD
60–64,Invasive <= 15mm,63,2013,1+,SA
60–64,Invasive <= 15mm,28,2013,1+,TAS
60–64,Invasive <= 15mm,146,2013,1+,VIC
60–64,Invasive <= 15mm,68,2013,1+,WA
60–64,Invasive <= 15mm,10,2014,1+,ACT
60–64,Invasive <= 15mm,207,2014,1+,NSW
60–64,Invasive <= 15mm,5,2014,1+,NT
60–64,Invasive <= 15mm,136,2014,1+,QLD
60–64,Invasive <= 15mm,86,2014,1+,SA
60–64,Invasive <= 15mm,19,2014,1+,TAS
60–64,Invasive <= 15mm,161,2014,1+,VIC
60–64,Invasive <= 15mm,74,2014,1+,WA
60–64,Invasive <= 15mm,7,2015,1+,ACT
60–64,Invasive <= 15mm,214,2015,1+,NSW
60–64,Invasive <= 15mm,2,2015,1+,NT
60–64,Invasive <= 15mm,146,2015,1+,QLD
60–64,Invasive <= 15mm,76,2015,1+,SA
60–64,Invasive <= 15mm,22,2015,1+,TAS
60–64,Invasive <= 15mm,144,2015,1+,VIC
60–64,Invasive <= 15mm,73,2015,1+,WA
60–64,Invasive <= 15mm,16,2016,1+,ACT
60–64,Invasive <= 15mm,247,2016,1+,NSW
60–64,Invasive <= 15mm,2,2016,1+,NT
60–64,Invasive <= 15mm,155,2016,1+,QLD
60–64,Invasive <= 15mm,61,2016,1+,SA
60–64,Invasive <= 15mm,16,2016,1+,TAS
60–64,Invasive <= 15mm,149,2016,1+,VIC
60–64,Invasive <= 15mm,80,2016,1+,WA
60–64,Invasive <= 15mm,17,2017,1+,ACT
60–64,Invasive <= 15mm,213,2017,1+,NSW
60–64,Invasive <= 15mm,8,2017,1+,NT
60–64,Invasive <= 15mm,131,2017,1+,QLD
60–64,Invasive <= 15mm,53,2017,1+,SA
60–64,Invasive <= 15mm,22,2017,1+,TAS
60–64,Invasive <= 15mm,133,2017,1+,VIC
60–64,Invasive <= 15mm,76,2017,1+,WA
65–69,Invasive <= 15mm,15,2009,1+,ACT
65–69,Invasive <= 15mm,200,2009,1+,NSW
65–69,Invasive <= 15mm,147,2009,1+,QLD
65–69,Invasive <= 15mm,58,2009,1+,SA
65–69,Invasive <= 15mm,20,2009,1+,TAS
65–69,Invasive <= 15mm,128,2009,1+,VIC
65–69,Invasive <= 15mm,42,2009,1+,WA
65–69,Invasive <= 15mm,13,2010,1+,ACT
65–69,Invasive <= 15mm,162,2010,1+,NSW
65–69,Invasive <= 15mm,2,2010,1+,NT
65–69,Invasive <= 15mm,143,2010,1+,QLD
65–69,Invasive <= 15mm,50,2010,1+,SA
65–69,Invasive <= 15mm,16,2010,1+,TAS
65–69,Invasive <= 15mm,134,2010,1+,VIC
65–69,Invasive <= 15mm,61,2010,1+,WA
65–69,Invasive <= 15mm,13,2011,1+,ACT
65–69,Invasive <= 15mm,176,2011,1+,NSW
65–69,Invasive <= 15mm,6,2011,1+,NT
65–69,Invasive <= 15mm,121,2011,1+,QLD
65–69,Invasive <= 15mm,52,2011,1+,SA
65–69,Invasive <= 15mm,12,2011,1+,TAS
65–69,Invasive <= 15mm,145,2011,1+,VIC
65–69,Invasive <= 15mm,59,2011,1+,WA
65–69,Invasive <= 15mm,8,2012,1+,ACT
65–69,Invasive <= 15mm,190,2012,1+,NSW
65–69,Invasive <= 15mm,3,2012,1+,NT
65–69,Invasive <= 15mm,131,2012,1+,QLD
65–69,Invasive <= 15mm,31,2012,1+,SA
65–69,Invasive <= 15mm,18,2012,1+,TAS
65–69,Invasive <= 15mm,138,2012,1+,VIC
65–69,Invasive <= 15mm,68,2012,1+,WA
65–69,Invasive <= 15mm,6,2013,1+,ACT
65–69,Invasive <= 15mm,220,2013,1+,NSW
65–69,Invasive <= 15mm,5,2013,1+,NT
65–69,Invasive <= 15mm,144,2013,1+,QLD
65–69,Invasive <= 15mm,63,2013,1+,SA
65–69,Invasive <= 15mm,23,2013,1+,TAS
65–69,Invasive <= 15mm,172,2013,1+,VIC
65–69,Invasive <= 15mm,66,2013,1+,WA
65–69,Invasive <= 15mm,8,2014,1+,ACT
65–69,Invasive <= 15mm,226,2014,1+,NSW
65–69,Invasive <= 15mm,5,2014,1+,NT
65–69,Invasive <= 15mm,167,2014,1+,QLD
65–69,Invasive <= 15mm,77,2014,1+,SA
65–69,Invasive <= 15mm,19,2014,1+,TAS
65–69,Invasive <= 15mm,164,2014,1+,VIC
65–69,Invasive <= 15mm,63,2014,1+,WA
65–69,Invasive <= 15mm,14,2015,1+,ACT
65–69,Invasive <= 15mm,237,2015,1+,NSW
65–69,Invasive <= 15mm,3,2015,1+,NT
65–69,Invasive <= 15mm,154,2015,1+,QLD
65–69,Invasive <= 15mm,80,2015,1+,SA
65–69,Invasive <= 15mm,28,2015,1+,TAS
65–69,Invasive <= 15mm,205,2015,1+,VIC
65–69,Invasive <= 15mm,64,2015,1+,WA
65–69,Invasive <= 15mm,16,2016,1+,ACT
65–69,Invasive <= 15mm,254,2016,1+,NSW
65–69,Invasive <= 15mm,3,2016,1+,NT
65–69,Invasive <= 15mm,182,2016,1+,QLD
65–69,Invasive <= 15mm,81,2016,1+,SA
65–69,Invasive <= 15mm,22,2016,1+,TAS
65–69,Invasive <= 15mm,167,2016,1+,VIC
65–69,Invasive <= 15mm,69,2016,1+,WA
65–69,Invasive <= 15mm,21,2017,1+,ACT
65–69,Invasive <= 15mm,253,2017,1+,NSW
65–69,Invasive <= 15mm,2,2017,1+,NT
65–69,Invasive <= 15mm,150,2017,1+,QLD
65–69,Invasive <= 15mm,71,2017,1+,SA
65–69,Invasive <= 15mm,23,2017,1+,TAS
65–69,Invasive <= 15mm,185,2017,1+,VIC
65–69,Invasive <= 15mm,92,2017,1+,WA
70+,Invasive <= 15mm,10,2009,1+,ACT
70+,Invasive <= 15mm,95,2009,1+,NSW
70+,Invasive <= 15mm,138,2009,1+,QLD
70+,Invasive <= 15mm,41,2009,1+,SA
70+,Invasive <= 15mm,9,2009,1+,TAS
70+,Invasive <= 15mm,70,2009,1+,VIC
70+,Invasive <= 15mm,41,2009,1+,WA
70+,Invasive <= 15mm,4,2010,1+,ACT
70+,Invasive <= 15mm,69,2010,1+,NSW
70+,Invasive <= 15mm,1,2010,1+,NT
70+,Invasive <= 15mm,153,2010,1+,QLD
70+,Invasive <= 15mm,39,2010,1+,SA
70+,Invasive <= 15mm,8,2010,1+,TAS
70+,Invasive <= 15mm,69,2010,1+,VIC
70+,Invasive <= 15mm,37,2010,1+,WA
70+,Invasive <= 15mm,4,2011,1+,ACT
70+,Invasive <= 15mm,86,2011,1+,NSW
70+,Invasive <= 15mm,0,2011,1+,NT
70+,Invasive <= 15mm,175,2011,1+,QLD
70+,Invasive <= 15mm,46,2011,1+,SA
70+,Invasive <= 15mm,7,2011,1+,TAS
70+,Invasive <= 15mm,62,2011,1+,VIC
70+,Invasive <= 15mm,47,2011,1+,WA
70+,Invasive <= 15mm,6,2012,1+,ACT
70+,Invasive <= 15mm,91,2012,1+,NSW
70+,Invasive <= 15mm,3,2012,1+,NT
70+,Invasive <= 15mm,142,2012,1+,QLD
70+,Invasive <= 15mm,33,2012,1+,SA
70+,Invasive <= 15mm,8,2012,1+,TAS
70+,Invasive <= 15mm,105,2012,1+,VIC
70+,Invasive <= 15mm,43,2012,1+,WA
70+,Invasive <= 15mm,1,2013,1+,ACT
70+,Invasive <= 15mm,205,2013,1+,NSW
70+,Invasive <= 15mm,2,2013,1+,NT
70+,Invasive <= 15mm,148,2013,1+,QLD
70+,Invasive <= 15mm,58,2013,1+,SA
70+,Invasive <= 15mm,15,2013,1+,TAS
70+,Invasive <= 15mm,100,2013,1+,VIC
70+,Invasive <= 15mm,44,2013,1+,WA
70+,Invasive <= 15mm,8,2014,1+,ACT
70+,Invasive <= 15mm,228,2014,1+,NSW
70+,Invasive <= 15mm,3,2014,1+,NT
70+,Invasive <= 15mm,190,2014,1+,QLD
70+,Invasive <= 15mm,78,2014,1+,SA
70+,Invasive <= 15mm,30,2014,1+,TAS
70+,Invasive <= 15mm,141,2014,1+,VIC
70+,Invasive <= 15mm,112,2014,1+,WA
70–74,Invasive <= 15mm,10,2015,1+,ACT
70–74,Invasive <= 15mm,214,2015,1+,NSW
70–74,Invasive <= 15mm,4,2015,1+,NT
70–74,Invasive <= 15mm,141,2015,1+,QLD
70–74,Invasive <= 15mm,59,2015,1+,SA
70–74,Invasive <= 15mm,18,2015,1+,TAS
70–74,Invasive <= 15mm,157,2015,1+,VIC
70–74,Invasive <= 15mm,38,2015,1+,WA
70–74,Invasive <= 15mm,8,2016,1+,ACT
70–74,Invasive <= 15mm,217,2016,1+,NSW
70–74,Invasive <= 15mm,2,2016,1+,NT
70–74,Invasive <= 15mm,135,2016,1+,QLD
70–74,Invasive <= 15mm,69,2016,1+,SA
70–74,Invasive <= 15mm,25,2016,1+,TAS
70–74,Invasive <= 15mm,148,2016,1+,VIC
70–74,Invasive <= 15mm,85,2016,1+,WA
70–74,Invasive <= 15mm,10,2017,1+,ACT
70–74,Invasive <= 15mm,217,2017,1+,NSW
70–74,Invasive <= 15mm,1,2017,1+,NT
70–74,Invasive <= 15mm,152,2017,1+,QLD
70–74,Invasive <= 15mm,81,2017,1+,SA
70–74,Invasive <= 15mm,16,2017,1+,TAS
70–74,Invasive <= 15mm,169,2017,1+,VIC
70–74,Invasive <= 15mm,70,2017,1+,WA
75+,Invasive <= 15mm,4,2015,1+,ACT
75+,Invasive <= 15mm,49,2015,1+,NSW
75+,Invasive <= 15mm,0,2015,1+,NT
75+,Invasive <= 15mm,54,2015,1+,QLD
75+,Invasive <= 15mm,19,2015,1+,SA
75+,Invasive <= 15mm,3,2015,1+,TAS
75+,Invasive <= 15mm,41,2015,1+,VIC
75+,Invasive <= 15mm,25,2015,1+,WA
75+,Invasive <= 15mm,5,2016,1+,ACT
75+,Invasive <= 15mm,61,2016,1+,NSW
75+,Invasive <= 15mm,1,2016,1+,NT
75+,Invasive <= 15mm,64,2016,1+,QLD
75+,Invasive <= 15mm,16,2016,1+,SA
75+,Invasive <= 15mm,3,2016,1+,TAS
75+,Invasive <= 15mm,43,2016,1+,VIC
75+,Invasive <= 15mm,23,2016,1+,WA
75+,Invasive <= 15mm,2,2017,1+,ACT
75+,Invasive <= 15mm,56,2017,1+,NSW
75+,Invasive <= 15mm,0,2017,1+,NT
75+,Invasive <= 15mm,69,2017,1+,QLD
75+,Invasive <= 15mm,22,2017,1+,SA
75+,Invasive <= 15mm,1,2017,1+,TAS
75+,Invasive <= 15mm,47,2017,1+,VIC
75+,Invasive <= 15mm,36,2017,1+,WA
